layer_idx,layer_name,submodule,cosine_similarity,mse
0,Transformer Layer 0,self_attn.q_proj,0.55,0.0005
0,Transformer Layer 0,self_attn.k_proj,0.55,0.0005
0,Transformer Layer 0,self_attn.v_proj,0.65,0.0006
0,Transformer Layer 0,self_attn.o_proj,0.98,2e-05
0,Transformer Layer 0,mlp.gate_proj,0.98,2e-05
0,Transformer Layer 0,self_attn.up_proj,0.98,2e-05
0,Transformer Layer 0,self_attn.down_proj,0.98,2e-05
1,Transformer Layer 1,self_attn.q_proj,0.559677,0.00049
1,Transformer Layer 1,self_attn.k_proj,0.559677,0.00049
1,Transformer Layer 1,self_attn.v_proj,0.659677,0.00059
1,Transformer Layer 1,self_attn.o_proj,0.980581,2e-05
1,Transformer Layer 1,mlp.gate_proj,0.980581,2e-05
1,Transformer Layer 1,self_attn.up_proj,0.980581,2e-05
1,Transformer Layer 1,self_attn.down_proj,0.980581,2e-05
2,Transformer Layer 2,self_attn.q_proj,0.569355,0.000481
2,Transformer Layer 2,self_attn.k_proj,0.569355,0.000481
2,Transformer Layer 2,self_attn.v_proj,0.669355,0.000581
2,Transformer Layer 2,self_attn.o_proj,0.981161,1.9e-05
2,Transformer Layer 2,mlp.gate_proj,0.981161,1.9e-05
2,Transformer Layer 2,self_attn.up_proj,0.981161,1.9e-05
2,Transformer Layer 2,self_attn.down_proj,0.981161,1.9e-05
3,Transformer Layer 3,self_attn.q_proj,0.579032,0.000471
3,Transformer Layer 3,self_attn.k_proj,0.579032,0.000471
3,Transformer Layer 3,self_attn.v_proj,0.679032,0.000571
3,Transformer Layer 3,self_attn.o_proj,0.981742,1.9e-05
3,Transformer Layer 3,mlp.gate_proj,0.981742,1.9e-05
3,Transformer Layer 3,self_attn.up_proj,0.981742,1.9e-05
3,Transformer Layer 3,self_attn.down_proj,0.981742,1.9e-05
4,Transformer Layer 4,self_attn.q_proj,0.58871,0.000461
4,Transformer Layer 4,self_attn.k_proj,0.58871,0.000461
4,Transformer Layer 4,self_attn.v_proj,0.68871,0.000561
4,Transformer Layer 4,self_attn.o_proj,0.982323,1.8e-05
4,Transformer Layer 4,mlp.gate_proj,0.982323,1.8e-05
4,Transformer Layer 4,self_attn.up_proj,0.982323,1.8e-05
4,Transformer Layer 4,self_attn.down_proj,0.982323,1.8e-05
5,Transformer Layer 5,self_attn.q_proj,0.598387,0.000452
5,Transformer Layer 5,self_attn.k_proj,0.598387,0.000452
5,Transformer Layer 5,self_attn.v_proj,0.698387,0.000552
5,Transformer Layer 5,self_attn.o_proj,0.982903,1.8e-05
5,Transformer Layer 5,mlp.gate_proj,0.982903,1.8e-05
5,Transformer Layer 5,self_attn.up_proj,0.982903,1.8e-05
5,Transformer Layer 5,self_attn.down_proj,0.982903,1.8e-05
6,Transformer Layer 6,self_attn.q_proj,0.608065,0.000442
6,Transformer Layer 6,self_attn.k_proj,0.608065,0.000442
6,Transformer Layer 6,self_attn.v_proj,0.708065,0.000542
6,Transformer Layer 6,self_attn.o_proj,0.983484,1.7e-05
6,Transformer Layer 6,mlp.gate_proj,0.983484,1.7e-05
6,Transformer Layer 6,self_attn.up_proj,0.983484,1.7e-05
6,Transformer Layer 6,self_attn.down_proj,0.983484,1.7e-05
7,Transformer Layer 7,self_attn.q_proj,0.617742,0.000432
7,Transformer Layer 7,self_attn.k_proj,0.617742,0.000432
7,Transformer Layer 7,self_attn.v_proj,0.717742,0.000532
7,Transformer Layer 7,self_attn.o_proj,0.984065,1.7e-05
7,Transformer Layer 7,mlp.gate_proj,0.984065,1.7e-05
7,Transformer Layer 7,self_attn.up_proj,0.984065,1.7e-05
7,Transformer Layer 7,self_attn.down_proj,0.984065,1.7e-05
8,Transformer Layer 8,self_attn.q_proj,0.627419,0.000423
8,Transformer Layer 8,self_attn.k_proj,0.627419,0.000423
8,Transformer Layer 8,self_attn.v_proj,0.727419,0.000523
8,Transformer Layer 8,self_attn.o_proj,0.984645,1.6e-05
8,Transformer Layer 8,mlp.gate_proj,0.984645,1.6e-05
8,Transformer Layer 8,self_attn.up_proj,0.984645,1.6e-05
8,Transformer Layer 8,self_attn.down_proj,0.984645,1.6e-05
9,Transformer Layer 9,self_attn.q_proj,0.637097,0.000413
9,Transformer Layer 9,self_attn.k_proj,0.637097,0.000413
9,Transformer Layer 9,self_attn.v_proj,0.737097,0.000513
9,Transformer Layer 9,self_attn.o_proj,0.985226,1.6e-05
9,Transformer Layer 9,mlp.gate_proj,0.985226,1.6e-05
9,Transformer Layer 9,self_attn.up_proj,0.985226,1.6e-05
9,Transformer Layer 9,self_attn.down_proj,0.985226,1.6e-05
10,Transformer Layer 10,self_attn.q_proj,0.646774,0.000403
10,Transformer Layer 10,self_attn.k_proj,0.646774,0.000403
10,Transformer Layer 10,self_attn.v_proj,0.746774,0.000503
10,Transformer Layer 10,self_attn.o_proj,0.985806,1.5e-05
10,Transformer Layer 10,mlp.gate_proj,0.985806,1.5e-05
