layer_idx,layer_name,submodule,cosine_similarity,mse
0,Transformer Layer 0,self_attn.q_proj,0.85,0.0002
0,Transformer Layer 0,self_attn.k_proj,0.85,0.0002
0,Transformer Layer 0,self_attn.v_proj,0.65,0.0003
0,Transformer Layer 0,self_attn.o_proj,0.9995,0.0
0,Transformer Layer 0,mlp.gate_proj,0.85,0.0002
0,Transformer Layer 0,self_attn.up_proj,0.85,0.0002
0,Transformer Layer 0,self_attn.down_proj,0.9995,0.0
1,Transformer Layer 1,self_attn.q_proj,0.853871,0.000195
1,Transformer Layer 1,self_attn.k_proj,0.853871,0.000195
1,Transformer Layer 1,self_attn.v_proj,0.658065,0.000294
1,Transformer Layer 1,self_attn.o_proj,0.999513,0.0
1,Transformer Layer 1,mlp.gate_proj,0.853871,0.000195
1,Transformer Layer 1,self_attn.up_proj,0.853871,0.000195
1,Transformer Layer 1,self_attn.down_proj,0.999513,0.0
2,Transformer Layer 2,self_attn.q_proj,0.857742,0.00019
2,Transformer Layer 2,self_attn.k_proj,0.857742,0.00019
2,Transformer Layer 2,self_attn.v_proj,0.666129,0.000287
2,Transformer Layer 2,self_attn.o_proj,0.999526,0.0
2,Transformer Layer 2,mlp.gate_proj,0.857742,0.00019
2,Transformer Layer 2,self_attn.up_proj,0.857742,0.00019
2,Transformer Layer 2,self_attn.down_proj,0.999526,0.0
3,Transformer Layer 3,self_attn.q_proj,0.861613,0.000185
3,Transformer Layer 3,self_attn.k_proj,0.861613,0.000185
3,Transformer Layer 3,self_attn.v_proj,0.674194,0.000281
3,Transformer Layer 3,self_attn.o_proj,0.999539,0.0
3,Transformer Layer 3,mlp.gate_proj,0.861613,0.000185
3,Transformer Layer 3,self_attn.up_proj,0.861613,0.000185
3,Transformer Layer 3,self_attn.down_proj,0.999539,0.0
4,Transformer Layer 4,self_attn.q_proj,0.865484,0.000181
4,Transformer Layer 4,self_attn.k_proj,0.865484,0.000181
4,Transformer Layer 4,self_attn.v_proj,0.682258,0.000274
4,Transformer Layer 4,self_attn.o_proj,0.999552,0.0
4,Transformer Layer 4,mlp.gate_proj,0.865484,0.000181
4,Transformer Layer 4,self_attn.up_proj,0.865484,0.000181
4,Transformer Layer 4,self_attn.down_proj,0.999552,0.0
5,Transformer Layer 5,self_attn.q_proj,0.869355,0.000176
5,Transformer Layer 5,self_attn.k_proj,0.869355,0.000176
5,Transformer Layer 5,self_attn.v_proj,0.690323,0.000268
5,Transformer Layer 5,self_attn.o_proj,0.999565,0.0
5,Transformer Layer 5,mlp.gate_proj,0.869355,0.000176
5,Transformer Layer 5,self_attn.up_proj,0.869355,0.000176
5,Transformer Layer 5,self_attn.down_proj,0.999565,0.0
6,Transformer Layer 6,self_attn.q_proj,0.873226,0.000171
6,Transformer Layer 6,self_attn.k_proj,0.873226,0.000171
6,Transformer Layer 6,self_attn.v_proj,0.698387,0.000261
6,Transformer Layer 6,self_attn.o_proj,0.999577,0.0
6,Transformer Layer 6,mlp.gate_proj,0.873226,0.000171
6,Transformer Layer 6,self_attn.up_proj,0.873226,0.000171
6,Transformer Layer 6,self_attn.down_proj,0.999577,0.0
7,Transformer Layer 7,self_attn.q_proj,0.877097,0.000166
7,Transformer Layer 7,self_attn.k_proj,0.877097,0.000166
7,Transformer Layer 7,self_attn.v_proj,0.706452,0.000255
7,Transformer Layer 7,self_attn.o_proj,0.99959,0.0
7,Transformer Layer 7,mlp.gate_proj,0.877097,0.000166
7,Transformer Layer 7,self_attn.up_proj,0.877097,0.000166
7,Transformer Layer 7,self_attn.down_proj,0.99959,0.0
8,Transformer Layer 8,self_attn.q_proj,0.880968,0.000161
8,Transformer Layer 8,self_attn.k_proj,0.880968,0.000161
8,Transformer Layer 8,self_attn.v_proj,0.714516,0.000248
8,Transformer Layer 8,self_attn.o_proj,0.999603,0.0
8,Transformer Layer 8,mlp.gate_proj,0.880968,0.000161
8,Transformer Layer 8,self_attn.up_proj,0.880968,0.000161
8,Transformer Layer 8,self_attn.down_proj,0.999603,0.0
9,Transformer Layer 9,self_attn.q_proj,0.884839,0.000156
9,Transformer Layer 9,self_attn.k_proj,0.884839,0.000156
9,Transformer Layer 9,self_attn.v_proj,0.722581,0.000242
9,Transformer Layer 9,self_attn.o_proj,0.999616,0.0
9,Transformer Layer 9,mlp.gate_proj,0.884839,0.000156
9,Transformer Layer 9,self_attn.up_proj,0.884839,0.000156
9,Transformer Layer 9,self_attn.down_proj,0.999616,0.0
10,Transformer Layer 10,self_attn.q_proj,0.88871,0.000152
10,Transformer Layer 10,self_attn.k_proj,0.88871,0.000152
10,Transformer Layer 10,self_attn.v_proj,0.730645,0.000235
10,Transformer Layer 10,self_attn.o_proj,0.999629,0.0
10,Transformer Layer 10,mlp.gate_proj,0.88871,0.000152
10,Transformer Layer 10,self_attn.up_proj,0.88871,0.000152
10,Transformer Layer 10,self_attn.down_proj,0.999629,0.0
11,Transformer Layer 11,self_attn.q_proj,0.892581,0.000147
11,Transformer Layer 11,self_attn.k_proj,0.892581,0.000147
11,Transformer Layer 11,self_attn.v_proj,0.73871,0.000229
11,Transformer Layer 11,self_attn.o_proj,0.999642,0.0
11,Transformer Layer 11,mlp.gate_proj,0.892581,0.000147
11,Transformer Layer 11,self_attn.up_proj,0.892581,0.000147
11,Transformer Layer 11,self_attn.down_proj,0.999642,0.0
12,Transformer Layer 12,self_attn.q_proj,0.896452,0.000142
12,Transformer Layer 12,self_attn.k_proj,0.896452,0.000142
12,Transformer Layer 12,self_attn.v_proj,0.746774,0.000223
12,Transformer Layer 12,self_attn.o_proj,0.999655,0.0
12,Transformer Layer 12,mlp.gate_proj,0.896452,0.000142
12,Transformer Layer 12,self_attn.up_proj,0.896452,0.000142
12,Transformer Layer 12,self_attn.down_proj,0.999655,0.0
13,Transformer Layer 13,self_attn.q_proj,0.900323,0.000137
13,Transformer Layer 13,self_attn.k_proj,0.900323,0.000137
13,Transformer Layer 13,self_attn.v_proj,0.754839,0.000216
13,Transformer Layer 13,self_attn.o_proj,0.999668,0.0
13,Transformer Layer 13,mlp.gate_proj,0.900323,0.000137
13,Transformer Layer 13,self_attn.up_proj,0.900323,0.000137
13,Transformer Layer 13,self_attn.down_proj,0.999668,0.0
14,Transformer Layer 14,self_attn.q_proj,0.904194,0.000132
14,Transformer Layer 14,self_attn.k_proj,0.904194,0.000132
14,Transformer Layer 14,self_attn.v_proj,0.762903,0.00021
14,Transformer Layer 14,self_attn.o_proj,0.999681,0.0
14,Transformer Layer 14,mlp.gate_proj,0.904194,0.000132
14,Transformer Layer 14,self_attn.up_proj,0.904194,0.000132
14,Transformer Layer 14,self_attn.down_proj,0.999681,0.0
15,Transformer Layer 15,self_attn.q_proj,0.908065,0.000127
15,Transformer Layer 15,self_attn.k_proj,0.908065,0.000127
15,Transformer Layer 15,self_attn.v_proj,0.770968,0.000203
15,Transformer Layer 15,self_attn.o_proj,0.999694,0.0
15,Transformer Layer 15,mlp.gate_proj,0.908065,0.000127
15,Transformer Layer 15,self_attn.up_proj,0.908065,0.000127
15,Transformer Layer 15,self_attn.down_proj,0.999694,0.0
16,Transformer Layer 16,self_attn.q_proj,0.911935,0.000123
16,Transformer Layer 16,self_attn.k_proj,0.911935,0.000123
16,Transformer Layer 16,self_attn.v_proj,0.779032,0.000197
16,Transformer Layer 16,self_attn.o_proj,0.999706,0.0
16,Transformer Layer 16,mlp.gate_proj,0.911935,0.000123
16,Transformer Layer 16,self_attn.up_proj,0.911935,0.000123
16,Transformer Layer 16,self_attn.down_proj,0.999706,0.0
17,Transformer Layer 17,self_attn.q_proj,0.915806,0.000118
17,Transformer Layer 17,self_attn.k_proj,0.915806,0.000118
17,Transformer Layer 17,self_attn.v_proj,0.787097,0.00019
17,Transformer Layer 17,self_attn.o_proj,0.999719,0.0
17,Transformer Layer 17,mlp.gate_proj,0.915806,0.000118
17,Transformer Layer 17,self_attn.up_proj,0.915806,0.000118
17,Transformer Layer 17,self_attn.down_proj,0.999719,0.0
18,Transformer Layer 18,self_attn.q_proj,0.919677,0.000113
18,Transformer Layer 18,self_attn.k_proj,0.919677,0.000113
18,Transformer Layer 18,self_attn.v_proj,0.795161,0.000184
18,Transformer Layer 18,self_attn.o_proj,0.999732,0.0
18,Transformer Layer 18,mlp.gate_proj,0.919677,0.000113
18,Transformer Layer 18,self_attn.up_proj,0.919677,0.000113
18,Transformer Layer 18,self_attn.down_proj,0.999732,0.0
